,labels,messages,sentiment_default,score_default,pred_sentiment_default,accurate_default,sentiment_finbert,score_finbert,pred_sentiment_finbert,accurate_finbert
0,neutral,"According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing .","[{'label': 'NEGATIVE', 'score': 0.9906287789344788}]",0.9906287789344788,NEGATIVE,0,"[{'label': 'neutral', 'score': 0.9888190627098083}]",0.9888190627098083,neutral,1
1,neutral,"Technopolis plans to develop in stages an area of no less than 100,000 square meters in order to host companies working in computer technologies and telecommunications , the statement said .","[{'label': 'POSITIVE', 'score': 0.5637860298156738}]",0.5637860298156738,POSITIVE,0,"[{'label': 'neutral', 'score': 0.9998527765274048}]",0.9998527765274048,neutral,1
2,negative,"The international electronic industry company Elcoteq has laid off tens of employees from its Tallinn facility ; contrary to earlier layoffs the company contracted the ranks of its office workers , the daily Postimees reported .","[{'label': 'NEGATIVE', 'score': 0.9673240184783936}]",0.9673240184783936,NEGATIVE,1,"[{'label': 'negative', 'score': 0.9996824264526367}]",0.9996824264526367,negative,1
3,positive,With the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability .,"[{'label': 'POSITIVE', 'score': 0.9970834851264954}]",0.9970834851264954,POSITIVE,1,"[{'label': 'positive', 'score': 0.9998549222946167}]",0.9998549222946167,positive,1
4,positive,"According to the company 's updated strategy for the years 2009-2012 , Basware targets a long-term net sales growth in the range of 20 % -40 % with an operating profit margin of 10 % -20 % of net sales .","[{'label': 'POSITIVE', 'score': 0.8617067337036133}]",0.8617067337036133,POSITIVE,1,"[{'label': 'positive', 'score': 0.9997660517692566}]",0.9997660517692566,positive,1
5,positive,FINANCING OF ASPOCOMP 'S GROWTH Aspocomp is aggressively pursuing its growth strategy by increasingly focusing on technologically more demanding HDI printed circuit boards PCBs .,"[{'label': 'POSITIVE', 'score': 0.54938143491745}]",0.54938143491745,POSITIVE,1,"[{'label': 'positive', 'score': 0.9998064637184143}]",0.9998064637184143,positive,1
6,positive,"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .","[{'label': 'NEGATIVE', 'score': 0.9939583539962769}]",0.9939583539962769,NEGATIVE,0,"[{'label': 'positive', 'score': 0.9998528957366943}]",0.9998528957366943,positive,1
7,positive,"In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , and operating profit by 34.9 % to EUR 23.5 mn .","[{'label': 'POSITIVE', 'score': 0.733427107334137}]",0.733427107334137,POSITIVE,1,"[{'label': 'positive', 'score': 0.9998421669006348}]",0.9998421669006348,positive,1
8,positive,Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,"[{'label': 'NEGATIVE', 'score': 0.7851774096488953}]",0.7851774096488953,NEGATIVE,0,"[{'label': 'positive', 'score': 0.9998133778572083}]",0.9998133778572083,positive,1
9,positive,"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales .","[{'label': 'NEGATIVE', 'score': 0.8647942543029785}]",0.8647942543029785,NEGATIVE,0,"[{'label': 'positive', 'score': 0.9998161196708679}]",0.9998161196708679,positive,1
